,id_count,UTM_E,UTM_N,Depth_m,geometry
8488,310418,406029.24,7613379.78,0.6609999999999999,POINT (406029.24 7613379.78)
8489,310419,406032.49,7613379.66,0.6609999999999999,POINT (406032.49 7613379.66)
8490,310420,406034.12,7613379.6,0.5851,POINT (406034.12 7613379.6)
8491,310421,406037.78,7613379.46,0.5485,POINT (406037.78 7613379.46)
8492,310422,406039.0,7613379.41,0.6122,POINT (406039 7613379.41)
8493,310423,406039.9,7613381.61,0.6223,POINT (406039.9 7613381.61)
8494,310424,406041.89,7613380.42,0.5119,POINT (406041.89 7613380.42)
8495,310425,406043.52,7613380.36,0.5526,POINT (406043.52 7613380.36)
8496,310426,406044.37,7613381.44,0.5607,POINT (406044.37 7613381.44)
8497,310427,406046.0,7613381.38,0.5526,POINT (406046 7613381.38)
8498,310428,406048.44,7613381.29,0.3981,POINT (406048.44 7613381.29)
8499,310429,406050.47,7613381.22,0.6041,POINT (406050.47 7613381.22)
8500,310430,406052.06,7613380.04,0.44689999999999996,POINT (406052.06 7613380.04)
8501,310431,406054.09,7613379.96,0.516,POINT (406054.09 7613379.96)
8502,310432,406054.09,7613379.96,0.4882,POINT (406054.09 7613379.96)
8503,310433,406055.72,7613379.9,0.41850000000000004,POINT (406055.72 7613379.9)
8504,310434,406057.34,7613379.84,0.5268,POINT (406057.34 7613379.84)
8505,310435,406059.42,7613380.88,0.4388,POINT (406059.42 7613380.88)
8506,310436,406061.04,7613380.82,0.5824,POINT (406061.04 7613380.82)
8507,310437,406063.44,7613379.61,0.6934999999999999,POINT (406063.44 7613379.61)
8508,310438,406064.66,7613379.57,0.537,POINT (406064.66 7613379.57)
8509,310439,406067.1,7613379.47,0.5783,POINT (406067.1 7613379.47)
8510,310440,406068.32,7613379.43,0.6149,POINT (406068.32 7613379.43)
8511,310441,406070.31,7613378.24,0.5268,POINT (406070.31 7613378.24)
8512,310442,406072.35,7613378.16,0.7537999999999999,POINT (406072.35 7613378.16)
8513,310443,406072.75,7613378.15,0.7951,POINT (406072.75 7613378.15)
8514,310444,406075.6,7613378.04,0.86,POINT (406075.6 7613378.04)
8515,310445,406076.86,7613379.11,0.7612000000000001,POINT (406076.86 7613379.11)
8516,310446,406079.3,7613379.02,0.703,POINT (406079.3 7613379.02)
8517,310447,406081.38,7613380.05,0.6704000000000001,POINT (406081.38 7613380.05)
8518,310448,406082.55,7613378.89,0.7111,POINT (406082.55 7613378.89)
8519,310449,406083.77,7613378.85,0.6920999999999999,POINT (406083.77 7613378.85)
8520,310450,406085.04,7613379.92,0.7111,POINT (406085.04 7613379.92)
