,Counter_,Latitude,Longitude,Depth_m,geometry
3733,5200780,68.617636,-149.31798799999999,0.39880000000000004,POINT (-149.317988 68.617636)
3734,5200781,68.617651,-149.31798500000002,0.4725,POINT (-149.317985 68.617651)
3735,5200782,68.61766800000001,-149.31798999999998,0.43119999999999997,POINT (-149.31799 68.61766800000001)
3736,5200783,68.617681,-149.31801299999998,0.4647,POINT (-149.318013 68.617681)
3737,5200784,68.617695,-149.318016,0.4959,POINT (-149.318016 68.617695)
3738,5200785,68.617716,-149.318018,0.535,POINT (-149.318018 68.617716)
3739,5200786,68.617735,-149.318035,0.4803,POINT (-149.318035 68.617735)
3740,5200787,68.617756,-149.31804,0.5702,POINT (-149.31804 68.617756)
3741,5200788,68.61777,-149.318023,0.5025999999999999,POINT (-149.318023 68.61776999999999)
3742,5200789,68.617775,-149.318028,0.5573,POINT (-149.318028 68.61777499999999)
3743,5200790,68.617795,-149.318036,0.5539999999999999,POINT (-149.318036 68.617795)
3744,5200791,68.617805,-149.318041,0.6277,POINT (-149.318041 68.617805)
3745,5200792,68.617823,-149.31804,0.6426999999999999,POINT (-149.31804 68.617823)
3746,5200793,68.617835,-149.318041,0.6416,POINT (-149.318041 68.617835)
3747,5200794,68.617846,-149.318041,0.6957,POINT (-149.318041 68.617846)
3748,5200795,68.617873,-149.31804499999998,0.6037,POINT (-149.318045 68.617873)
3749,5200796,68.61789,-149.318063,0.5808,POINT (-149.318063 68.61789)
3750,5200797,68.617896,-149.318076,0.4904,POINT (-149.318076 68.617896)
3751,5200798,68.617913,-149.318081,0.4892,POINT (-149.318081 68.617913)
3752,5200799,68.617933,-149.318088,0.4971,POINT (-149.318088 68.61793299999999)
3753,5200800,68.617938,-149.318096,0.5188,POINT (-149.318096 68.617938)
3754,5200801,68.617963,-149.318085,0.5093,POINT (-149.318085 68.617963)
3755,5200802,68.61797,-149.31808999999998,0.6344,POINT (-149.31809 68.61797)
3756,5200803,68.61797800000001,-149.318096,0.46799999999999997,POINT (-149.318096 68.61797800000001)
3757,5200804,68.61799,-149.3181,0.6109,POINT (-149.3181 68.61799000000001)
3758,5200805,68.618011,-149.31809099999998,0.6277,POINT (-149.318091 68.618011)
3759,5200806,68.618021,-149.318105,0.6042000000000001,POINT (-149.318105 68.618021)
3760,5200807,68.618031,-149.31811000000002,0.5082,POINT (-149.31811 68.618031)
3761,5200808,68.618048,-149.318105,0.4725,POINT (-149.318105 68.618048)
3762,5200809,68.618066,-149.318098,0.506,POINT (-149.318098 68.618066)
3763,5200810,68.618078,-149.318101,0.5025999999999999,POINT (-149.318101 68.618078)
3764,5200811,68.618095,-149.3181,0.5462,POINT (-149.3181 68.618095)
3765,5200812,68.61810600000001,-149.31811299999998,0.6064,POINT (-149.318113 68.61810600000001)
3766,5200813,68.618123,-149.318126,0.4412,POINT (-149.318126 68.618123)
3767,5200814,68.61813599999999,-149.31813,0.4697,POINT (-149.31813 68.61813599999999)
3768,5200815,68.618153,-149.31813,0.5740999999999999,POINT (-149.31813 68.61815300000001)
3769,5200816,68.618166,-149.31813300000002,0.5495,POINT (-149.318133 68.618166)
3770,5200817,68.618188,-149.318135,0.6009,POINT (-149.318135 68.618188)
3771,5200818,68.618193,-149.318141,0.6265,POINT (-149.318141 68.61819300000001)
3772,5200819,68.618208,-149.31815,0.5808,POINT (-149.31815 68.618208)
3773,5200820,68.618218,-149.318143,0.6544,POINT (-149.318143 68.618218)
3774,5200821,68.61823100000001,-149.31813300000002,0.5785,POINT (-149.318133 68.61823100000001)
3775,5200822,68.618248,-149.31813,0.7359,POINT (-149.31813 68.61824799999999)
3776,5200823,68.618256,-149.318141,0.5919,POINT (-149.318141 68.618256)
3777,5200824,68.61827,-149.318143,0.7303000000000001,POINT (-149.318143 68.61827)
3778,5200825,68.618285,-149.318136,0.8029999999999999,POINT (-149.318136 68.618285)
3779,5200826,68.618303,-149.318143,0.83,POINT (-149.318143 68.618303)
3780,5200827,68.618323,-149.318135,0.958,POINT (-149.318135 68.618323)
3781,5200828,68.618335,-149.318145,0.948,POINT (-149.318145 68.618335)
3782,5200829,68.61834300000001,-149.31813300000002,0.9,POINT (-149.318133 68.61834300000001)
3783,5200830,68.61836,-149.318141,0.95,POINT (-149.318141 68.61836)
3784,5200831,68.618371,-149.31817,0.9259999999999999,POINT (-149.31817 68.618371)
3785,5200832,68.618383,-149.318178,1.032,POINT (-149.318178 68.61838299999999)
3786,5200833,68.618401,-149.318183,1.045,POINT (-149.318183 68.61840100000001)
3787,5200834,68.618416,-149.318196,1.056,POINT (-149.318196 68.618416)
3788,5200835,68.618443,-149.318203,1.0090000000000001,POINT (-149.318203 68.618443)
3789,5200836,68.61846,-149.318196,0.956,POINT (-149.318196 68.61846)
3790,5200837,68.618471,-149.31821499999998,0.873,POINT (-149.318215 68.618471)
3791,5200838,68.618481,-149.318218,0.799,POINT (-149.318218 68.618481)
3792,5200839,68.618495,-149.318223,0.6862999999999999,POINT (-149.318223 68.618495)
3793,5200840,68.618516,-149.318226,0.6945999999999999,POINT (-149.318226 68.618516)
3794,5200841,68.618533,-149.318203,0.6756,POINT (-149.318203 68.618533)
3795,5200842,68.61854,-149.31821100000002,0.6868000000000001,POINT (-149.318211 68.61854)
3796,5200843,68.618555,-149.318205,0.7036,POINT (-149.318205 68.618555)
3797,5200844,68.618565,-149.31821499999998,0.7147,POINT (-149.318215 68.618565)
3798,5200845,68.618583,-149.31821000000002,0.7058,POINT (-149.31821 68.618583)
3799,5200846,68.61859,-149.31821499999998,0.7326,POINT (-149.318215 68.61859)
3800,5200847,68.618611,-149.318228,0.7209,POINT (-149.318228 68.618611)
3801,5200848,68.61862099999999,-149.31823300000002,0.775,POINT (-149.318233 68.61862099999999)
3802,5200849,68.618638,-149.31823500000002,0.863,POINT (-149.318235 68.618638)
3803,5200850,68.61865999999999,-149.318251,0.855,POINT (-149.318251 68.61865999999999)
3804,5200851,68.618673,-149.31825600000002,0.878,POINT (-149.318256 68.618673)
3805,5200852,68.618686,-149.31826999999998,0.8620002,POINT (-149.31827 68.618686)
3806,5200853,68.618716,-149.318246,0.86,POINT (-149.318246 68.61871600000001)
3807,5200854,68.620305,-149.31846299999998,0.1745,POINT (-149.318463 68.620305)
3808,5200855,68.620313,-149.31845800000002,0.2169,POINT (-149.318458 68.620313)
3809,5200856,68.620323,-149.318465,0.1834,POINT (-149.318465 68.620323)
3810,5200857,68.620336,-149.31845,-0.00077,POINT (-149.31845 68.62033599999999)
3811,5200858,68.620343,-149.31845800000002,0.3486,POINT (-149.318458 68.62034300000001)
3812,5200859,68.620361,-149.318455,0.3475,POINT (-149.318455 68.620361)
3813,5200860,68.620375,-149.318465,0.3369,POINT (-149.318465 68.620375)
3814,5200861,68.620386,-149.31848100000002,0.3296,POINT (-149.318481 68.620386)
3815,5200862,68.6204,-149.31849499999998,0.3017,POINT (-149.318495 68.6204)
3816,5200863,68.620406,-149.31850500000002,0.34409999999999996,POINT (-149.318505 68.620406)
3817,5200864,68.62042,-149.318526,0.396,POINT (-149.318526 68.62042)
3818,5200865,68.62043100000001,-149.318556,0.47590000000000005,POINT (-149.318556 68.62043100000001)
3819,5200866,68.62044499999999,-149.318575,0.7023999999999999,POINT (-149.318575 68.62044499999999)
3820,5200867,68.62046600000001,-149.318571,0.7114,POINT (-149.318571 68.62046600000001)
3821,5200868,68.62048100000001,-149.31858,0.7047,POINT (-149.31858 68.62048100000001)
3822,5200869,68.620508,-149.31858799999998,0.3335,POINT (-149.318588 68.620508)
3823,5200870,68.620506,-149.31859599999999,-0.00077,POINT (-149.318596 68.62050600000001)
3824,5200871,68.620515,-149.3186,-0.00077,POINT (-149.3186 68.620515)
3825,5200872,68.620541,-149.318616,0.4133,POINT (-149.318616 68.620541)
3826,5200873,68.620548,-149.318611,0.6701,POINT (-149.318611 68.620548)
3827,5200874,68.62057,-149.31861,0.40549999999999997,POINT (-149.31861 68.62057)
3828,5200875,68.620583,-149.318621,0.3118,POINT (-149.318621 68.620583)
3829,5200876,68.620598,-149.318636,0.3653,POINT (-149.318636 68.620598)
