,LongitudeDDDDD,LatitudeDDDDD,DepthCm,UTM_E,UTM_N,Depth_m,geometry
222,-149.319,68.6104,102.7,405652.47,7612697.1,1.0270000000000001,POINT (405652.47 7612697.1)
223,-149.31799999999998,68.6104,99.1,405653.89,7612697.0,0.991,POINT (405653.89 7612697)
224,-149.31799999999998,68.6104,96.4,405654.65,7612697.4,0.9640000000000001,POINT (405654.65 7612697.4)
225,-149.31799999999998,68.6104,101.6,405655.0,7612697.5,1.016,POINT (405655 7612697.5)
226,-149.31799999999998,68.6104,95.1,405655.53,7612697.3,0.951,POINT (405655.53 7612697.3)
227,-149.31799999999998,68.6104,104.4,405656.96,7612697.5,1.044,POINT (405656.96 7612697.5)
228,-149.31799999999998,68.6104,88.4,405658.31,7612697.0,0.884,POINT (405658.31 7612697)
229,-149.31799999999998,68.6104,95.9,405659.0,7612697.4,0.9590000000000001,POINT (405659 7612697.4)
230,-149.31799999999998,68.6104,105.9,405660.27,7612697.0,1.0590000000000002,POINT (405660.27 7612697)
231,-149.31799999999998,68.6104,90.6,405659.92,7612696.6,0.9059999999999999,POINT (405659.92 7612696.6)
232,-149.31799999999998,68.6104,90.1,405660.92,7612696.2,0.9009999999999999,POINT (405660.92 7612696.2)
233,-149.31799999999998,68.6104,91.7,405662.08,7612696.2,0.917,POINT (405662.08 7612696.2)
234,-149.31799999999998,68.6104,94.2,405663.19,7612697.0,0.9420000000000001,POINT (405663.19 7612697)
235,-149.31799999999998,68.6104,80.6,405663.93,7612696.6,0.8059999999999999,POINT (405663.93 7612696.6)
236,-149.31799999999998,68.6104,71.64,405664.56,7612697.2,0.7164,POINT (405664.56 7612697.2)
237,-149.31799999999998,68.6104,93.3,405665.46,7612697.7,0.9329999999999999,POINT (405665.46 7612697.7)
238,-149.31799999999998,68.6104,84.9,405665.24,7612697.3,0.8490000000000001,POINT (405665.24 7612697.3)
239,-149.31799999999998,68.6104,96.1,405666.93,7612697.1,0.961,POINT (405666.93 7612697.1)
240,-149.31799999999998,68.6104,108.2,405667.87,7612696.9,1.082,POINT (405667.87 7612696.9)
241,-149.31799999999998,68.6104,102.4,405668.58,7612695.9,1.024,POINT (405668.58 7612695.9)
242,-149.31799999999998,68.6104,103.9,405668.98,7612695.7,1.0390000000000001,POINT (405668.98 7612695.7)
243,-149.31799999999998,68.6104,101.2,405670.47,7612695.7,1.012,POINT (405670.47 7612695.7)
244,-149.31799999999998,68.6104,100.1,405671.0,7612696.9,1.001,POINT (405671 7612696.9)
245,-149.31799999999998,68.6104,90.5,405672.82,7612696.7,0.905,POINT (405672.82 7612696.7)
246,-149.31799999999998,68.6104,95.4,405673.04,7612697.0,0.9540000000000001,POINT (405673.04 7612697)
247,-149.31799999999998,68.6104,86.0,405674.6,7612697.0,0.86,POINT (405674.6 7612697)
248,-149.31799999999998,68.6104,95.6,405675.51,7612696.0,0.956,POINT (405675.51 7612696)
249,-149.31799999999998,68.6104,99.3,405676.32,7612695.8,0.993,POINT (405676.32 7612695.8)
250,-149.31799999999998,68.6104,105.6,405677.79,7612695.4,1.056,POINT (405677.79 7612695.4)
251,-149.31799999999998,68.6104,112.8,405678.74,7612695.2,1.128,POINT (405678.74 7612695.2)
252,-149.31799999999998,68.6104,107.1,405679.77,7612695.5,1.071,POINT (405679.77 7612695.5)
253,-149.31799999999998,68.6104,96.0,405680.28,7612694.7,0.96,POINT (405680.28 7612694.7)
254,-149.31799999999998,68.6104,84.6,405681.16,7612694.5,0.846,POINT (405681.16 7612694.5)
