,Counter_,Depth_m,Latitude,Longitude,geometry
52,25046,0.1443,68.622046,-149.28716799999998,POINT (406976.0877076927 7613948.747302058)
53,25047,0.1755,68.622033,-149.287178,POINT (406975.6272674276 7613947.313777464)
54,25048,0.1845,68.622023,-149.287193,POINT (406974.9759787965 7613946.222116216)
55,25049,0.3664,68.622006,-149.287216,POINT (406973.9704276378 7613944.362512194)
56,25050,0.3357,68.621998,-149.287223,POINT (406973.6526772164 7613943.481622924)
57,25051,0.2291,68.621995,-149.287228,POINT (406973.4369620016 7613943.154880743)
58,25052,0.4155,68.62198000000001,-149.287258,POINT (406972.1551034002 7613941.528730827)
59,25053,0.4305,68.621965,-149.287256,POINT (406972.1742470796 7613939.854192677)
60,25054,0.4534,68.621948,-149.28727800000001,POINT (406971.2093480242 7613937.9930776)
61,25055,0.4992,68.621935,-149.287266,POINT (406971.6433448218 7613936.526286422)
62,25056,0.6904999,68.621925,-149.28727800000001,POINT (406971.1140213174 7613935.430089714)
63,25057,0.7875999,68.621911,-149.28728600000002,POINT (406970.7307446196 7613933.882107428)
64,25058,0.6426,68.6219,-149.28731100000002,POINT (406969.6687412187 7613932.694134965)
65,25059,0.5907,68.621888,-149.287326,POINT (406969.0091571931 7613931.379606736)
66,25060,0.6638,68.62188,-149.28733300000002,POINT (406968.6914037239 7613930.498718082)
67,25061,0.7703,68.621861,-149.287353,POINT (406967.7995225496 7613928.411711398)
68,25062,0.7391,68.62184599999999,-149.28735600000002,POINT (406967.6153811978 7613926.744734275)
69,25063,0.6843999,68.621831,-149.287378,POINT (406966.65876406 7613925.106489425)
70,25064,0.6777,68.621826,-149.287368,POINT (406967.0446061843 7613924.534195906)
71,25065,0.3351,68.62181600000001,-149.2874,POINT (406965.7021457409 7613923.468244934)
72,25066,0.218,68.621808,-149.287413,POINT (406965.1404503948 7613922.596430206)
73,25067,0.1716,68.62179499999999,-149.28743500000002,POINT (406964.1921200731 7613921.181054774)
74,25068,0.1711,68.621783,-149.28743799999998,POINT (406964.0204109454 7613919.848380645)
75,25069,0.2838,68.621776,-149.287463,POINT (406962.9749787156 7613919.10614796)
76,25070,0.2079,68.62176,-149.287488,POINT (406961.8922407324 7613917.361007531)
77,25071,0.2001,68.621746,-149.287505,POINT (406961.1430455456 7613915.826637472)
78,25072,0.2035,68.621741,-149.28750300000002,POINT (406961.2036338639 7613915.266441628)
79,25073,0.1744,68.621725,-149.287531,POINT (406959.9989227703 7613913.525838964)
80,25074,0.2414,68.62171,-149.287541,POINT (406959.5301781177 7613911.869448791)
81,25075,0.2068,68.621696,-149.287556,POINT (406958.8622937914 7613910.332054715)
82,25076,0.2135,68.621688,-149.287565,POINT (406958.463220897 7613909.454192046)
83,25077,0.2007,68.621678,-149.287585,POINT (406957.6086316711 7613908.370097062)
84,25078,0.3296,68.621666,-149.287596,POINT (406957.111663442 7613907.049522415)
85,25079,0.1265,68.621651,-149.28761599999999,POINT (406956.2363466598 7613905.408256718)
86,25080,0.2403,68.621643,-149.287603,POINT (406956.7317250341 7613904.497121729)
87,25081,0.2074,68.621636,-149.287603,POINT (406956.7027084958 7613903.717082088)
88,25082,0.2146,68.621615,-149.28761,POINT (406956.331059899 7613901.387549929)
89,25083,0.3117,68.621601,-149.287605,POINT (406956.4763117765 7613899.819908686)
90,25084,0.2966,68.621588,-149.287605,POINT (406956.4224238895 7613898.371263649)
91,25085,0.3307,68.621576,-149.287585,POINT (406957.1858226204 7613897.003805086)
92,25086,0.1856,68.62156800000001,-149.287601,POINT (406956.5021477938 7613896.136529409)
93,25087,0.00035,68.62155600000001,-149.287598,POINT (406956.5743765447 7613894.794781431)
94,25088,0.3882,68.621553,-149.287583,POINT (406957.1717975892 7613894.437792929)
95,25089,0.00146,68.62154,-149.287573,POINT (406957.5244815894 7613892.974024094)
96,25090,0.2107,68.621538,-149.287576,POINT (406957.3942198484 7613892.755692756)
97,25091,0.1968,68.621516,-149.287548,POINT (406958.4414271727 7613890.26179324)
98,25092,0.2113,68.6215,-149.287533,POINT (406958.9849634381 7613888.45616012)
99,25093,0.2448,68.621491,-149.28753799999998,POINT (406958.7443715153 7613887.460813761)
100,25094,0.2191,68.62148,-149.28751499999998,POINT (406959.6338920752 7613886.200253149)
101,25095,0.1611,68.62146800000001,-149.28750300000002,POINT (406960.072038612 7613884.844894252)
102,25096,0.1365,68.621453,-149.287521,POINT (406959.2780318172 7613883.200602809)
103,25097,0.1332,68.621445,-149.2875,POINT (406960.0986747741 7613882.277369778)
104,25098,0.2593,68.621433,-149.287483,POINT (406960.7401090682 7613880.91444935)
105,25099,0.3363,68.621421,-149.287468,POINT (406961.3002294083 7613879.554553713)
106,25100,0.4635,68.621403,-149.287453,POINT (406961.83548076 7613877.526052769)
107,25101,0.4685,68.62139,-149.287443,POINT (406962.1881706241 7613876.062284632)
108,25102,0.3006,68.621383,-149.287428,POINT (406962.7690175038 7613875.259560541)
109,25103,0.228,68.621375,-149.287401,POINT (406963.8336091562 7613874.32725504)
110,25104,0.1834,68.621356,-149.287381,POINT (406964.568006532 7613872.179759113)
111,25105,0.2124,68.62134300000001,-149.28735600000002,POINT (406965.5305614225 7613870.693307652)
112,25106,0.1756,68.621336,-149.28734599999999,POINT (406965.9081231738 7613869.898145529)
113,25107,0.0885,68.621328,-149.28733,POINT (406966.5254855992 7613868.982475848)
114,25108,0.00035,68.62132,-149.287328,POINT (406966.573642949 7613868.087977422)
115,25109,0.2291,68.621315,-149.287326,POINT (406966.6342344832 7613867.527781742)
116,25110,0.1968,68.621301,-149.28731100000002,POINT (406967.1860721694 7613865.945018974)
117,25111,0.2269,68.621285,-149.287295,POINT (406967.7702789255 7613864.137875635)
118,25112,0.1655,68.621268,-149.2873,POINT (406967.4965316853 7613862.251054471)
119,25113,0.2537,68.621258,-149.287283,POINT (406968.1462651703 7613861.111004499)
120,25114,0.2397,68.621245,-149.28725500000002,POINT (406969.2307999253 7613859.620017912)
121,25115,0.1488,68.62123000000001,-149.287261,POINT (406968.9246850394 7613857.957577281)
122,25116,0.2704,68.621215,-149.287243,POINT (406969.5943553726 7613856.258844266)
123,25117,0.3887,68.621205,-149.287235,POINT (406969.8781718138 7613855.132404376)
124,25118,0.3798,68.62118000000001,-149.287228,POINT (406970.0591628728 7613852.33596293)
125,25119,0.3028,68.621178,-149.287228,POINT (406970.0508738186 7613852.113094429)
126,25120,0.4769,68.62117099999999,-149.287243,POINT (406969.4119949679 7613851.355737278)
127,25121,0.5405,68.621153,-149.287216,POINT (406970.4351547763 7613849.309092183)
128,25122,0.4724,68.621138,-149.28721000000002,POINT (406970.6169344373 7613847.628505456)
129,25123,0.4752,68.621128,-149.28718999999998,POINT (406971.3886472969 7613846.483919892)
130,25124,0.5383,68.62111800000001,-149.287181,POINT (406971.7131239014 7613845.355968083)
131,25125,0.5003,68.621103,-149.287161,POINT (406972.4641160102 7613843.654211598)
132,25126,0.6856,68.621095,-149.287148,POINT (406972.9595141362 7613842.743079952)
133,25127,0.6968,68.621081,-149.287151,POINT (406972.7795188955 7613841.187536764)
134,25128,0.8,68.62106800000001,-149.28713100000002,POINT (406973.5388018839 7613839.708649124)
135,25129,0.833,68.621055,-149.28712,POINT (406973.9321636188 7613838.243370633)
136,25130,0.883,68.621038,-149.28712,POINT (406973.8617100499 7613836.348988295)
137,25131,0.923,68.621031,-149.28712,POINT (406973.8326997591 7613835.56894851)
138,25132,1.112,68.62100799999999,-149.2871,POINT (406974.5505424173 7613832.975718648)
139,25133,1.177,68.620991,-149.287101,POINT (406974.4394313475 7613831.082848399)
140,25134,1.183,68.62097299999999,-149.287096,POINT (406974.5681249669 7613829.069471329)
141,25135,1.056,68.620968,-149.28714,POINT (406972.7584435894 7613828.578832785)
142,25136,1.038,68.62094599999999,-149.287151,POINT (406972.2200272169 7613826.143912616)
143,25137,1.33,68.620936,-149.28716799999998,POINT (406971.4873933616 7613825.055276423)
144,25138,0.971,68.62091,-149.28715,POINT (406972.1114878101 7613822.130767413)
145,25139,0.6678,68.620896,-149.287136,POINT (406972.6226828752 7613820.549518093)
146,25140,0.5255,68.620875,-149.28715,POINT (406971.966434597 7613818.230568606)
147,25141,0.4401,68.62087,-149.28717,POINT (406971.1325455567 7613817.703640168)
148,25142,0.3921,68.620853,-149.287195,POINT (406970.0456308354 7613815.847061835)
149,25143,0.4301,68.620835,-149.287211,POINT (406969.3204958724 7613813.865440104)
150,25144,0.2872,68.620818,-149.287221,POINT (406968.8434551012 7613811.986179708)
151,25145,0.4725,68.620801,-149.287226,POINT (406968.569706129 7613810.099358448)
152,25146,0.6126,68.62078000000001,-149.28725,POINT (406967.5068669101 7613807.795532024)
153,25147,0.5919,68.620761,-149.28726799999998,POINT (406966.6962664038 7613805.705501204)
154,25148,0.5211,68.620743,-149.287281,POINT (406966.0931022204 7613803.719343736)
155,25149,0.3882,68.62071800000001,-149.28732,POINT (406964.4038003864 7613800.992465136)
156,25150,0.5981,68.62070600000001,-149.287351,POINT (406963.0936460322 7613799.702134514)
157,25151,0.4044,68.620701,-149.28739299999998,POINT (406961.3652586506 7613799.208479531)
158,25152,0.4139,68.62069,-149.287426,POINT (406959.9779293185 7613798.032609374)
159,25153,0.2794,68.620676,-149.287473,POINT (406958.0089420638 7613796.543610245)
160,25154,0.4345,68.62066,-149.287523,POINT (406955.9096862021 7613794.836281374)
161,25155,0.5015,68.620651,-149.287551,POINT (406954.7339358748 7613793.875720599)
162,25156,0.5082,68.620651,-149.287555,POINT (406954.5713008897 7613793.881770251)
163,25157,0.4703,68.620638,-149.287575,POINT (406953.7042391414 7613792.463373755)
164,25158,0.1672,68.62061800000001,-149.287603,POINT (406952.4828897913 7613790.277037559)
165,25159,0.2091,68.62060600000001,-149.287661,POINT (406950.0749355837 7613789.027550033)
166,25160,0.2336,68.620591,-149.287701,POINT (406948.3864020635 7613787.416536795)
167,25161,0.2504,68.620573,-149.28773999999999,POINT (406946.7260889743 7613785.469709503)
168,25162,0.2861,68.62055600000001,-149.287758,POINT (406945.9237560846 7613783.602553729)
169,25163,0.2074,68.62053,-149.287766,POINT (406945.4907021986 7613780.717364659)
170,25164,0.3698,68.620498,-149.287768,POINT (406945.2767287128 7613777.154494995)
171,25165,0.1365,68.62048100000001,-149.28777,POINT (406945.1249373578 7613775.263138525)
172,25166,0.3436,68.620471,-149.287791,POINT (406944.2296420453 7613774.180560461)
173,25167,0.00035,68.620465,-149.287791,POINT (406944.2047688851 7613773.511955198)
174,25168,0.1164,68.620448,-149.287823,POINT (406942.8332034521 7613771.665976593)
175,25169,0.00146,68.620435,-149.287826,POINT (406942.6573334644 7613770.221869702)
176,25170,0.1789,68.620413,-149.287845,POINT (406941.7936062472 7613767.799056789)
177,25171,0.2537,68.62039,-149.28785,POINT (406941.4949608613 7613765.243633154)
178,25172,0.2169,68.620373,-149.287853,POINT (406941.3025074004 7613763.353789533)
179,25173,0.1929,68.620356,-149.287868,POINT (406940.622142471 7613761.482097541)
180,25174,0.2202,68.620335,-149.28786599999998,POINT (406940.6164021796 7613759.138953965)
181,25175,0.1538,68.620328,-149.28788799999998,POINT (406939.6928774216 7613758.392192743)
182,25176,0.1912,68.620306,-149.28791299999997,POINT (406938.5851879586 7613755.978456843)
183,25177,0.2158,68.6203,-149.287918,POINT (406938.3570166258 7613755.317415)
184,25178,0.4301,68.620271,-149.287928,POINT (406937.8301955585 7613752.100949967)
185,25179,0.4652,68.620255,-149.287935,POINT (406937.479247062 7613750.328591565)
186,25180,0.6288,68.620233,-149.287945,POINT (406936.9814449191 7613747.892166103)
187,25181,0.7571,68.620215,-149.287941,POINT (406937.069458656 7613745.880299742)
188,25182,1.154,68.620193,-149.28798600000002,POINT (406935.148570711 7613743.496819355)
189,25183,1.2,68.620176,-149.28796100000002,POINT (406936.0945808456 7613741.564620063)
190,25184,1.47,68.620148,-149.28796499999999,POINT (406935.8158591246 7613738.450513396)
191,25185,1.65,68.62014,-149.28798,POINT (406935.1727975107 7613737.581730618)
192,25186,1.62,68.620113,-149.288036,POINT (406932.7839154556 7613734.657721043)
193,25187,1.75,68.620103,-149.288018,POINT (406933.4743309821 7613733.516149477)
194,25188,1.3,68.62009499999999,-149.287991,POINT (406934.5389766609 7613732.583831856)
195,25189,1.25,68.62007,-149.288016,POINT (406933.4188349696 7613729.835795599)
196,25190,1.181,68.620046,-149.287991,POINT (406934.3358286567 7613727.12355633)
197,25191,1.15,68.620026,-149.287981,POINT (406934.659509821 7613724.879745098)
198,25192,1.083,68.62001,-149.28798799999998,POINT (406934.3085568023 7613723.107387132)
199,25193,0.911,68.619998,-149.288005,POINT (406933.5675877135 7613721.79589345)
200,25194,0.8820002,68.61999,-149.287996,POINT (406933.9003599197 7613720.890805189)
201,25195,0.7264,68.619968,-149.287995,POINT (406933.849810445 7613718.437740196)
202,25196,0.5194,68.619956,-149.287996,POINT (406933.7593998673 7613717.102042626)
203,25197,0.3157,68.619941,-149.28798600000002,POINT (406934.1038118546 7613715.415402301)
204,25198,0.2202,68.619936,-149.288005,POINT (406933.3105419117 7613714.886973518)
205,25199,0.0623,68.619928,-149.288011,POINT (406933.0334144376 7613714.004576516)
206,25200,-0.00021,68.619923,-149.288018,POINT (406932.7280644994 7613713.457994878)
207,25201,0.00035,68.619913,-149.28804499999998,POINT (406931.5887832926 7613712.384497797)
208,25202,-0.00021,68.6199,-149.288061,POINT (406930.8843241258 7613710.960057925)
209,25203,-0.00077,68.619895,-149.288096,POINT (406929.4404904463 7613710.455835111)
210,25204,-0.00021,68.619876,-149.288106,POINT (406928.9551138668 7613708.353713772)
211,25205,-0.00021,68.619855,-149.288106,POINT (406928.8680461847 7613706.013595873)
212,25206,0.00035,68.619843,-149.288118,POINT (406928.3303708448 7613704.694539598)
213,25207,-0.00077,68.619825,-149.288128,POINT (406927.8491387164 7613702.703852646)
214,25208,-0.00077,68.61981,-149.288126,POINT (406927.8682674544 7613701.029314211)
215,25209,0.1321,68.61976999999999,-149.288108,POINT (406928.4343088428 7613696.544715812)
216,25210,0.1231,68.61976,-149.288101,POINT (406928.6774704782 7613695.419784168)
217,25211,0.1265,68.619741,-149.288108,POINT (406928.3140725064 7613693.31312447)
218,25212,0.0846,68.61972800000001,-149.288116,POINT (406927.9348902103 7613691.876582765)
219,25213,0.2526,68.619723,-149.28813,POINT (406927.3449139176 7613691.340591649)
220,25214,0.2839,68.61969599999999,-149.288148,POINT (406926.5010803404 7613688.359100115)
221,25215,0.1136,68.619675,-149.288148,POINT (406926.4140111689 7613686.018982312)
222,25216,0.2615,68.619653,-149.288128,POINT (406927.1360067081 7613683.537173192)
223,25217,0.2576,68.619646,-149.28813799999998,POINT (406926.7003783615 7613682.772262461)
224,25218,0.103,68.619641,-149.288135,POINT (406926.8016293939 7613682.210552984)
225,25219,0.1801,68.619623,-149.28809099999998,POINT (406928.5160654084 7613680.138172669)
226,25220,0.0818,68.619606,-149.288081,POINT (406928.8521889172 7613678.228663295)
227,25221,0.1276,68.619591,-149.288065,POINT (406929.4405690082 7613676.532945455)
228,25222,0.2169,68.61958100000001,-149.288041,POINT (406930.3749652212 7613675.382296293)
229,26001,0.4786,68.61690300000001,-149.298531,POINT (406492.6919737472 7613392.868806919)
230,26002,0.5462,68.6169,-149.298526,POINT (406492.8828056648 7613392.526906831)
231,26003,0.5651,68.616883,-149.298523,POINT (406492.933998852 7613390.627976729)
232,26004,0.5171,68.616863,-149.298531,POINT (406492.5253784603 7613388.411464687)
233,26005,0.4982,68.61684100000001,-149.298526,POINT (406492.6370781725 7613385.952327034)
234,26006,0.5774,68.616823,-149.298508,POINT (406493.2940886404 7613383.91916518)
235,26007,0.6232,68.616805,-149.29851000000002,POINT (406493.1377905752 7613381.91640092)
236,26008,0.5406,68.616796,-149.298501,POINT (406493.4662965206 7613380.899820043)
237,26009,0.6031,68.616776,-149.298498,POINT (406493.5049966368 7613378.6665893)
238,26010,0.5601,68.61676,-149.2985,POINT (406493.3570283962 7613376.886692143)
239,26011,0.583,68.61675100000001,-149.298486,POINT (406493.8888631728 7613375.862511973)
240,26012,0.6489,68.616733,-149.298483,POINT (406493.9358936847 7613373.852148358)
241,26013,0.487,68.61671,-149.298488,POINT (406493.6367752098 7613371.296775885)
242,26014,0.5741,68.61669,-149.298493,POINT (406493.3501507561 7613369.075704117)
243,26015,0.4223,68.616665,-149.298488,POINT (406493.449359272 7613366.282265862)
244,26016,0.6254,68.616646,-149.2985,POINT (406492.8822388242 7613364.183266814)
245,26017,0.6768,68.616636,-149.298486,POINT (406493.4099117285 7613363.047653007)
246,26018,0.7347999,68.616625,-149.298486,POINT (406493.3640990017 7613361.821883897)
247,26019,0.6327,68.616621,-149.29849,POINT (406493.1847765506 7613361.382229166)
248,26020,0.6243,68.616603,-149.298485,POINT (406493.313139411 7613359.368825807)
249,26021,0.7593999,68.616585,-149.29848,POINT (406493.4415026065 7613357.355422456)
250,26022,0.829,68.616576,-149.29847,POINT (406493.8106785931 7613356.337321787)
251,26023,0.801,68.616558,-149.298478,POINT (406493.4103853951 7613354.343676725)
252,26024,0.861,68.61654,-149.298473,POINT (406493.5387492516 7613352.330273387)
253,26025,0.6131,68.61652,-149.298486,POINT (406492.926795876 7613350.121360638)
254,26026,0.6896,68.616508,-149.298483,POINT (406492.9988164693 7613348.779598355)
255,26027,0.7079999,68.616491,-149.298478,POINT (406493.131345417 7613346.877628556)
256,26028,0.5741,68.61648100000001,-149.298483,POINT (406492.8863673017 7613345.770892395)
257,26029,0.6399,68.616463,-149.29847,POINT (406493.3400605827 7613343.745330054)
258,26030,0.5105,68.616446,-149.29845,POINT (406494.0825824228 7613341.820562333)
259,26031,0.5049,68.616431,-149.298458,POINT (406493.6947822664 7613340.161217895)
260,26032,0.6673,68.616421,-149.29845500000002,POINT (406493.7751334469 7613339.042322756)
261,26033,0.5026,68.61641,-149.298463,POINT (406493.403991786 7613337.828712581)
262,26034,0.5261,68.616393,-149.29845500000002,POINT (406493.6585209866 7613335.922183223)
263,26035,0.5116,68.616383,-149.298453,POINT (406493.6982061893 7613334.804807947)
264,26036,0.5629,68.616361,-149.298448,POINT (406493.8099136719 7613332.345670432)
265,26037,0.5674,68.616341,-149.298448,POINT (406493.7266193434 7613330.116999341)
266,26038,0.5836,68.616326,-149.298445,POINT (406493.7861476713 7613328.440936439)
267,26039,0.6729,68.616315,-149.298426,POINT (406494.5129969884 7613327.186290077)
268,26040,0.5607,68.616295,-149.298418,POINT (406494.7550347778 7613324.945460185)
269,26041,0.5958,68.616286,-149.298418,POINT (406494.7175528349 7613323.942558186)
270,26042,0.7382,68.61627800000001,-149.298426,POINT (406494.3589040136 7613323.063248534)
271,26043,0.6811999,68.616271,-149.298425,POINT (406494.3704177483 7613322.281693798)
272,26044,0.5518,68.61625,-149.298421,POINT (406494.4456256071 7613319.935509741)
273,26045,0.6756,68.61624,-149.298421,POINT (406494.4039789626 7613318.821174192)
274,26046,0.5964,68.616228,-149.298425,POINT (406494.1913368598 7613317.490050944)
275,26047,0.6422,68.616218,-149.29842,POINT (406494.3530229063 7613316.368116136)
276,26048,0.5328,68.616203,-149.298418,POINT (406494.371886138 7613314.693573114)
277,26049,0.6645,68.61619,-149.298416,POINT (406494.3990787935 7613313.241897203)
278,26050,0.6902,68.616173,-149.298416,POINT (406494.328279683 7613311.347526777)
279,26051,0.7103,68.616153,-149.29841000000002,POINT (406494.4889866367 7613309.10973659)
280,26052,0.7571,68.61614499999999,-149.298426,POINT (406493.8050025657 7613308.242585818)
281,26053,0.5657,68.61613299999999,-149.298421,POINT (406493.9583600473 7613306.897783887)
282,26054,0.7097,68.61611500000001,-149.29842,POINT (406493.9240628882 7613304.890460066)
283,26055,0.7236,68.61610300000001,-149.29841299999998,POINT (406494.1587543018 7613303.542618436)
284,26056,0.5808,68.616085,-149.298416,POINT (406493.9617903035 7613301.541374034)
285,26057,0.6299,68.616076,-149.298426,POINT (406493.5176403617 7613300.553670658)
286,26058,0.5875,68.616066,-149.298408,POINT (406494.2079965593 7613299.411977686)
287,26059,0.4825,68.616051,-149.298393,POINT (406494.75552984 7613297.717676661)
288,26060,0.5071,68.61604,-149.29838,POINT (406495.2383885209 7613296.472149651)
289,26061,0.4775,68.61601800000001,-149.298381,POINT (406495.1061007599 7613294.022131284)
290,26062,0.6606,68.616001,-149.298421,POINT (406493.4086250186 7613292.188554902)
291,26063,0.6544,68.615996,-149.298406,POINT (406493.997806036 7613291.608589248)
292,26064,0.6064,68.615981,-149.298398,POINT (406494.2606724368 7613289.924927128)
293,26065,0.6087,68.615971,-149.298385,POINT (406494.747697279 7613288.790833591)
294,26066,0.573,68.615948,-149.298393,POINT (406494.3265753571 7613286.240020624)
295,26067,0.6455,68.615935,-149.298388,POINT (406494.4757708167 7613284.783785191)
296,26068,0.7114,68.61591800000001,-149.29838,POINT (406494.7303094579 7613282.877256032)
297,26069,0.7036,68.61591,-149.29836799999998,POINT (406495.1849981374 7613281.967549542)
298,26070,0.7075,68.61588499999999,-149.298356,POINT (406495.5688900463 7613279.163472702)
299,26071,0.669,68.615876,-149.29834,POINT (406496.1820839804 7613278.136253539)
300,27001,0.5317,68.614228,-149.296933,POINT (406546.541949133 7613092.355907081)
301,27002,0.5651,68.614226,-149.296918,POINT (406547.1436781866 7613092.110255187)
302,27003,0.4502,68.614216,-149.296861,POINT (406549.4202613526 7613090.90933862)
303,27004,0.6455,68.6142,-149.296826,POINT (406550.7771312973 7613089.073238319)
304,27005,0.6544,68.614191,-149.296831,POINT (406550.5363245739 7613088.077930285)
305,27006,0.5919,68.614175,-149.296768,POINT (406553.0319650427 7613086.199301813)
306,27007,0.5785,68.614165,-149.296751,POINT (406553.6817441399 7613085.059144745)
307,27008,0.5953,68.614135,-149.296761,POINT (406553.1501931897 7613081.731324635)
308,27009,0.6059,68.614111,-149.29676,POINT (406553.0909852972 7613079.05539873)
309,27010,0.669,68.61409,-149.29676,POINT (406553.00359184 7613076.715292584)
310,27011,0.6059,68.614075,-149.29676,POINT (406552.9411679497 7613075.043788197)
311,27012,0.6466,68.61405,-149.29675,POINT (406553.2438332877 7613072.242758811)
312,27013,0.66,68.614035,-149.29673,POINT (406553.9948205167 7613070.540877109)
313,27014,0.6254,68.614021,-149.296741,POINT (406553.4891827658 7613068.997513827)
314,27015,0.6349,68.613985,-149.296743,POINT (406553.2580254866 7613064.988941031)
315,27016,0.6489,68.613973,-149.296726,POINT (406553.8994878966 7613063.625916811)
316,27017,0.6645,68.613938,-149.296731,POINT (406553.5504808497 7613059.733334206)
317,27018,0.7058,68.613926,-149.296728,POINT (406553.6225546371 7613058.391574102)
318,27019,0.6031,68.613895,-149.29674,POINT (406553.005497672 7613054.955358137)
319,27020,0.7259,68.613876,-149.296736,POINT (406553.0891115256 7613052.832043774)
320,27021,0.617,68.613848,-149.296726,POINT (406553.3792971316 7613049.696713578)
321,27022,0.6539,68.613828,-149.296736,POINT (406552.8893574832 7613047.483229794)
322,27023,0.6946,68.613801,-149.29673,POINT (406553.0210216581 7613044.465408693)
323,27024,0.6232,68.613781,-149.296731,POINT (406552.8971200577 7613042.238255081)
324,27025,0.7203,68.613773,-149.296726,POINT (406553.067182889 7613041.339191726)
325,27026,0.6126,68.61374599999999,-149.296721,POINT (406553.1581771294 7613038.322889516)
